County Name,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population
Florida,19897762,20231092,20555733,20957705,21268553
Alachua,255631,257478,259349,263753,266649
Baker,27003,26967,27066,27488,28089
Bay,174016,176637,178953,182218,179900
Bradford,27325,27498,27808,28083,28455
Brevard,563818,570496,576970,584050,593372
Broward,1834008,1860979,1884545,1903210,1927014
Calhoun,14550,14594,14658,15315,14982
Charlotte,167966,171219,173954,175413,182298
Citrus,141830,143458,144922,145164,147735
Clay,202229,206387,210767,213565,217109
Collier,345528,351768,358506,367471,377700
Columbia,68251,68687,69250,69566,70614
Miami-Dade,2665425,2712144,2754749,2804160,2830500
Desoto,34876,35215,35454,35940,35718
Dixie,16531,16844,17040,16767,16516
Duval,909960,927903,942841,954454,971842
Escambia,307730,310642,312811,317051,322901
Flagler,101826,103584,106076,108481,110636
Franklin,11852,11937,12006,12360,12017
Gadsden,48356,48527,48690,48173,47926
Gilchrist,16837,16862,16977,17578,17682
Glades,12881,13101,13263,13193,13098
Gulf,16364,16718,16957,16235,16507
Hamilton,14665,14666,14749,14706,14787
Hardee,27634,27643,27675,27436,27311
Hendry,38160,38436,38675,39682,40089
Hernando,177434,180213,183065,185421,189661
Highlands,100955,101727,102590,103317,103391
Hillsborough,1331997,1359850,1388111,1419285,1445243
Holmes,19907,20037,20132,20404,20218
Indian River,144062,147163,149930,152079,155308
Jackson,50461,50311,50303,50689,50325
Jefferson,14506,14501,14530,14725,14842
Lafayette,8649,8620,8651,8367,8613
Lake,318366,325887,333598,342356,354537
Lee,669297,684465,700837,721053,734630
Leon,285233,288495,291879,290223,296717
Levy,40457,40599,40832,41550,41354
Liberty,8701,8754,8839,8781,9167
Madison,19200,19252,19295,19420,19533
Manatee,351617,359486,367130,381071,388729
Marion,342290,346956,352067,355325,360053
Martin,150331,151081,152333,155705,158006
Monroe,74551,76461,77300,76534,73253
Nassau,76867,78174,79592,83125,85135
Okaloosa,192118,193247,194811,198409,201104
Okeechobee,40208,40983,41469,41492,41347
Orange,1259067,1287703,1317704,1370447,1389297
Osceola,311980,326342,339470,360426,368678
Palm Beach,1382134,1395117,1411054,1442281,1458576
Pasco,489691,497991,507081,518639,527174
Pinellas,947783,956302,961253,971022,979558
Polk,636234,650552,663999,681691,688770
Putnam,72821,73004,73068,73422,73012
Saint Johns,215185,222006,229272,241545,249734
Saint Lucie,289055,294144,299962,304743,309073
Santa Rosa,163892,168026,171851,175552,179875
Sarasota,393850,401316,407501,415896,426977
Seminole,444403,450706,457028,463627,472775
Sumter,116440,119433,123928,125779,130642
Suwannee,44449,44340,44527,45123,45482
Taylor,22752,22400,22220,22258,22652
Union,15934,15873,15896,15966,15985
Volusia,512247,519037,525121,532926,539563
Wakulla,31323,31706,32134,32350,32418
Walton,61111,63562,65724,67926,70352
Washington,24952,24880,24935,25243,25347
