County,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population
Florida,19897762.00,20231092.00,20555733.00,20957705.00,21268553.00
Alachua,255631.00,257478.00,259349.00,263753.00,266649.00
Baker,27003.00,26967.00,27066.00,27488.00,28089.00
Bay,174016.00,176637.00,178953.00,182218.00,179900.00
Bradford,27325.00,27498.00,27808.00,28083.00,28455.00
Brevard,563818.00,570496.00,576970.00,584050.00,593372.00
Broward,1834008.00,1860979.00,1884545.00,1903210.00,1927014.00
Calhoun,14550.00,14594.00,14658.00,15315.00,14982.00
Charlotte,167966.00,171219.00,173954.00,175413.00,182298.00
Citrus,141830.00,143458.00,144922.00,145164.00,147735.00
Clay,202229.00,206387.00,210767.00,213565.00,217109.00
Collier,345528.00,351768.00,358506.00,367471.00,377700.00
Columbia,68251.00,68687.00,69250.00,69566.00,70614.00
Miami-Dade,2665425.00,2712144.00,2754749.00,2804160.00,2830500.00
Desoto,34876.00,35215.00,35454.00,35940.00,35718.00
Dixie,16531.00,16844.00,17040.00,16767.00,16516.00
Duval,909960.00,927903.00,942841.00,954454.00,971842.00
Escambia,307730.00,310642.00,312811.00,317051.00,322901.00
Flagler,101826.00,103584.00,106076.00,108481.00,110636.00
Franklin,11852.00,11937.00,12006.00,12360.00,12017.00
Gadsden,48356.00,48527.00,48690.00,48173.00,47926.00
Gilchrist,16837.00,16862.00,16977.00,17578.00,17682.00
Glades,12881.00,13101.00,13263.00,13193.00,13098.00
Gulf,16364.00,16718.00,16957.00,16235.00,16507.00
Hamilton,14665.00,14666.00,14749.00,14706.00,14787.00
Hardee,27634.00,27643.00,27675.00,27436.00,27311.00
Hendry,38160.00,38436.00,38675.00,39682.00,40089.00
Hernando,177434.00,180213.00,183065.00,185421.00,189661.00
Highlands,100955.00,101727.00,102590.00,103317.00,103391.00
Hillsborough,1331997.00,1359850.00,1388111.00,1419285.00,1445243.00
Holmes,19907.00,20037.00,20132.00,20404.00,20218.00
Indian River,144062.00,147163.00,149930.00,152079.00,155308.00
Jackson,50461.00,50311.00,50303.00,50689.00,50325.00
Jefferson,14506.00,14501.00,14530.00,14725.00,14842.00
Lafayette,8649.00,8620.00,8651.00,8367.00,8613.00
Lake,318366.00,325887.00,333598.00,342356.00,354537.00
Lee,669297.00,684465.00,700837.00,721053.00,734630.00
Leon,285233.00,288495.00,291879.00,290223.00,296717.00
Levy,40457.00,40599.00,40832.00,41550.00,41354.00
Liberty,8701.00,8754.00,8839.00,8781.00,9167.00
Madison,19200.00,19252.00,19295.00,19420.00,19533.00
Manatee,351617.00,359486.00,367130.00,381071.00,388729.00
Marion,342290.00,346956.00,352067.00,355325.00,360053.00
Martin,150331.00,151081.00,152333.00,155705.00,158006.00
Monroe,74551.00,76461.00,77300.00,76534.00,73253.00
Nassau,76867.00,78174.00,79592.00,83125.00,85135.00
Okaloosa,192118.00,193247.00,194811.00,198409.00,201104.00
Okeechobee,40208.00,40983.00,41469.00,41492.00,41347.00
Orange,1259067.00,1287703.00,1317704.00,1370447.00,1389297.00
Osceola,311980.00,326342.00,339470.00,360426.00,368678.00
Palm Beach,1382134.00,1395117.00,1411054.00,1442281.00,1458576.00
Pasco,489691.00,497991.00,507081.00,518639.00,527174.00
Pinellas,947783.00,956302.00,961253.00,971022.00,979558.00
Polk,636234.00,650552.00,663999.00,681691.00,688770.00
Putnam,72821.00,73004.00,73068.00,73422.00,73012.00
Saint Johns,215185.00,222006.00,229272.00,241545.00,249734.00
Saint Lucie,289055.00,294144.00,299962.00,304743.00,309073.00
Santa Rosa,163892.00,168026.00,171851.00,175552.00,179875.00
Sarasota,393850.00,401316.00,407501.00,415896.00,426977.00
Seminole,444403.00,450706.00,457028.00,463627.00,472775.00
Sumter,116440.00,119433.00,123928.00,125779.00,130642.00
Suwannee,44449.00,44340.00,44527.00,45123.00,45482.00
Taylor,22752.00,22400.00,22220.00,22258.00,22652.00
Union,15934.00,15873.00,15896.00,15966.00,15985.00
Volusia,512247.00,519037.00,525121.00,532926.00,539563.00
Wakulla,31323.00,31706.00,32134.00,32350.00,32418.00
Walton,61111.00,63562.00,65724.00,67926.00,70352.00
Washington,24952.00,24880.00,24935.00,25243.00,25347.00
